season,round,driver,rating_mu
1952,7,farina,1885.68
1952,7,flinterman,1397.93
1952,7,flinterman,1397.93
1952,7,frere,1337.22
1952,7,hawthorn,1743.85
1952,7,landi,1445.06
1952,7,lof,1457.25
1952,7,macklin,1571.71
1952,7,manzon,1590.53
1952,7,moss,1355.64
1952,7,tornaco,1473.25
1952,7,trintignant,1472.77
1952,7,villoresi,1754.95
1952,7,wharton,1464.41
1952,8,alan_brown,1483.97
1952,8,ascari,2003.58
1952,8,bayol,1339.98
1952,8,behra,1439.32
1952,8,bianco,1271.63
1952,8,bonetto,1615.73
1952,8,brandon,1514.64
1952,8,cantoni,1464.26
1952,8,farina,1905.42
1952,8,fischer,1486.13
1952,8,gonzalez,1936.85
1952,8,hawthorn,1555.82
1952,8,landi,1570.59
1952,8,manzon,1554.85
1952,8,mcalpine,1381.62
1952,8,moss,1387.89
1952,8,poore,1639.98
1952,8,rol,1431.45
1952,8,rosier,1445.18
1952,8,simon,1643.31
1952,8,taruffi,1813.76
1952,8,trintignant,1373.1
1952,8,villoresi,1832.65
1952,8,wharton,1565.45
1953,1,alan_brown,1504.31
1953,1,ascari,2039.65
1953,1,behra,1545.05
1953,1,birger,1415.33
1953,1,bonetto,1542.0
1953,1,cruz,1397.34
1953,1,fangio,1697.09
1953,1,farina,1723.55
1953,1,galvez,1603.18
1953,1,gonzalez,1950.05
1953,1,hawthorn,1657.69
1953,1,john_barber,1532.45
1953,1,manzon,1534.17
1953,1,menditeguy,1433.25
1953,1,schell,1512.18
1953,1,trintignant,1463.98
1953,1,villoresi,1887.02
1953,2,agabashian,1680.76
1953,2,ayulo,1596.6
1953,2,bettenhausen,1634.66
1953,2,bob_scott,1288.06
1953,2,bob_scott,1288.06
1953,2,bryan,1620.3
1953,2,cross,1841.4
1953,2,darter,1444.97
1953,2,darter,1444.97
1953,2,davies,1641.2
1953,2,daywalt,1707.69
1953,2,dinsmore,1449.41
1953,2,faulkner,1523.59
1953,2,flaherty,1416.9
1953,2,freeland,1298.13
1953,2,hanks,1829.75
1953,2,hartley,1339.98
1953,2,hartley,1339.98
1953,2,holland,1613.1
1953,2,holmes,1423.01
1953,2,hoyt,1359.07
1953,2,johnson,1692.75
1953,2,linden,1238.01
1953,2,linden,1238.01
1953,2,linden,1238.01
1953,2,mantz,1485.35
1953,2,mccoy,1673.07
1953,2,mcgrath,1790.66
1953,2,nalon,1598.06
1953,2,nazaruk,1461.59
1953,2,niday,1254.06
1953,2,parsons,1345.74
1953,2,paul_russo,1412.31
1953,2,paul_russo,1412.31
1953,2,rathmann,1671.68
1953,2,rathmann,1671.68
1953,2,scarborough,1593.87
1953,2,stevenson,1304.98
1953,2,stevenson,1304.98
1953,2,stevenson,1304.98
1953,2,sweikert,1375.27
1953,2,teague,1470.99
1953,2,thomson,1260.79
1953,2,thomson,1260.79
1953,2,vukovich,1758.84
1953,2,ward,1491.07
1953,2,webb,1405.97
1953,3,ascari,2076.41
1953,3,bonetto,1675.32
1953,3,claes,1532.07
1953,3,collins,1507.74
1953,3,fangio,1585.87
1953,3,farina,1822.86
1953,3,gonzalez,1734.52
1953,3,gonzalez,1734.52
1953,3,graffenried,1592.34
1953,3,hawthorn,1732.31
1953,3,macklin,1428.19
1953,3,mcalpine,1441.0
1953,3,mieres,1449.11
1953,3,moss,1477.49
1953,3,rosier,1548.98
1953,3,salvadori,1481.17
1953,3,schell,1506.17
1953,3,trintignant,1577.79
1953,3,villoresi,1778.68
1953,3,wharton,1458.13
1953,4,andre_pilette,1550.08
1953,4,ascari,2099.34
1953,4,behra,1443.2
1953,4,claes,1529.86
1953,4,collins,1404.42
1953,4,fangio,1501.91
1953,4,fangio,1501.91
1953,4,farina,1655.28
1953,4,frere,1447.03
1953,4,georges_berger,1382.55
1953,4,gonzalez,1568.44
1953,4,graffenried,1697.28
1953,4,hawthorn,1751.96
1953,4,legat,1355.07
1953,4,macklin,1437.18
1953,4,marimon,1581.93
1953,4,rosier,1607.95
1953,4,schell,1599.4
1953,4,trintignant,1672.54
1953,4,villoresi,1850.88
1953,4,wacker,1562.8
1953,5,ascari,2066.38
1953,5,bayol,1345.3
1953,5,behra,1549.96
1953,5,bira,1491.37
1953,5,bonetto,1577.3
1953,5,cabantous,1522.96
1953,5,chiron,1408.01
1953,5,claes,1565.9
1953,5,collins,1481.45
1953,5,fangio,1693.82
1953,5,farina,1738.65
1953,5,gerard,1615.52
1953,5,gonzalez,1716.06
1953,5,graffenried,1734.5
1953,5,hawthorn,1858.03
1953,5,macklin,1352.29
1953,5,marimon,1640.46
1953,5,mieres,1325.66
1953,5,moss,1457.1
1953,5,rosier,1669.64
1953,5,salvadori,1326.38
1953,5,schell,1423.17
1953,5,trintignant,1493.62
1953,5,villoresi,1844.41
1953,5,wharton,1396.32
1953,6,alan_brown,1519.08
1953,6,ascari,2097.56
1953,6,behra,1446.59
1953,6,bira,1631.29
1953,6,bonetto,1692.44
1953,6,collins,1491.5
1953,6,crook,1290.91
1953,6,duncan_hamilton,1362.72
1953,6,fairman,1485.28
1953,6,fangio,1815.74
1953,6,farina,1828.26
1953,6,gonzalez,1799.5
1953,6,graffenried,1572.23
1953,6,hawthorn,1873.86
1953,6,ian_stewart,1405.07
1953,6,jimmy_stewart,1575.8
1953,6,macklin,1357.29
1953,6,marimon,1604.17
1953,6,mcalpine,1306.76
1953,6,rolt,1484.74
1953,6,rosier,1680.24
1953,6,salvadori,1374.23
1953,6,schell,1314.17
1953,6,trintignant,1385.45
1953,6,villoresi,1731.03
1953,6,wharton,1565.06
1953,6,whitehead,1618.83
1953,7,adolff,1368.94
1953,7,alan_brown,1525.42
1953,7,ascari,1778.63
1953,7,ascari,1778.63
1953,7,barth,1489.43
1953,7,bauer,1303.87
1953,7,bechem,1338.41
1953,7,behra,1407.87
1953,7,bira,1451.93
1953,7,bonetto,1822.86
1953,7,claes,1502.05
1953,7,fangio,1921.93
1953,7,farina,1945.32
1953,7,fitzau,1384.34
1953,7,graffenried,1748.64
1953,7,hans_stuck,1234.7
1953,7,hawthorn,1942.68
1953,7,heeks,1456.35
1953,7,helfrich,1535.46
1953,7,herrmann,1652.77
1953,7,karch,1460.54
1953,7,klodwig,1590.52
1953,7,krause,1552.99
1953,7,loof,1271.01
1953,7,marimon,1546.26
1953,7,mcalpine,1511.61
1953,7,moss,1681.63
1953,7,nuckey,1626.73
1953,7,rosier,1719.96
1953,7,salvadori,1262.91
1953,7,schell,1329.59
1953,7,seidel,1553.36
1953,7,swaters,1676.26
1953,7,trintignant,1285.4
1953,7,villoresi,1682.91
1953,7,villoresi,1682.91
1953,8,ascari,1894.38
1953,8,behra,1431.43
1953,8,bonetto,1695.35
1953,8,bonetto,1695.35
1953,8,fangio,1747.07
1953,8,fangio,1747.07
1953,8,farina,1993.58
1953,8,frere,1372.31
1953,8,graffenried,1693.96
1953,8,hawthorn,1974.55
